Unmatched Ingredient,Role,Mention Count,Product Count,Classification,Best Candidate Canonical Ingredient,Candidate Score,Mapping Basis,Confidence,Reason,Recommended Next Step
Natural Humectants,Secondary,1,1,NOT_SAFE_TO_MAP,Natural betaine,0.727,No reliable equivalence,HIGH,"Names a class of materials, not a specific ingredient.",DO_NOT_MAP
Nicotinoyl Dipeptide-23,Secondary,1,1,NOT_SAFE_TO_MAP,Peptide,0.467,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Nonapeptide,Primary,1,1,NOT_SAFE_TO_MAP,Peptide,0.778,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Oligopeptide-34,Secondary,1,1,NOT_SAFE_TO_MAP,Oligopeptide-1,0.897,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Oligopeptides,Primary,1,1,NOT_SAFE_TO_MAP,Oligopeptide-1,0.889,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Olive Oil Derivatives,Primary,1,1,NOT_SAFE_TO_MAP,Olive Oil,0.6,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Olive Oil Glycereth-8 Esters,Secondary,1,1,NOT_SAFE_TO_MAP,Olive Oil,0.486,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Olive Oil Methyl Ester,Secondary,1,1,NOT_SAFE_TO_MAP,Olive Oil,0.581,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Olive Oil Polyglyceryl-6 Esters,Primary,1,1,NOT_SAFE_TO_MAP,Olive Oil,0.45,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Organic Acids,Secondary,1,1,NOT_SAFE_TO_MAP,Tannic Acid,0.75,No reliable equivalence,HIGH,"Names a class of materials, not a specific ingredient.",DO_NOT_MAP
P-refinyl,Primary,1,1,NOT_SAFE_TO_MAP,Pro-retinol,0.7,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Palmitoyl tetrapeptide-10,Primary,1,1,NOT_SAFE_TO_MAP,Palmitoyl Tetrapeptide-7,0.939,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Palmitoylpentapeptide-5,Primary,1,1,NOT_SAFE_TO_MAP,Palmitoyl Pentapeptide-4,0.936,Related chemical but not equivalent,HIGH,Different peptide number.,DO_NOT_MAP
Papaya Fruit Enzyme,Primary,1,1,NOT_SAFE_TO_MAP,Papaya Fruit Extract,0.718,Same source but different material,HIGH,An isolated enzyme is not the extract.,DO_NOT_MAP
Pear Fruit Extract,Secondary,1,1,NOT_SAFE_TO_MAP,Papaya Fruit Extract,0.842,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Peg 40 Hydrogenated Castor Oil,Secondary,1,1,NOT_SAFE_TO_MAP,Peg-60 Hydrogenated Castor Oil,0.933,Related chemical but not equivalent,HIGH,PEG-40 and PEG-60 differ in ethoxylation; explicitly not interchangeable.,DO_NOT_MAP
Phosphate,Primary,1,1,NOT_SAFE_TO_MAP,Sodium Ascorbyl Phosphate,0.529,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Pisum Sativum Peptide,Primary,1,1,NOT_SAFE_TO_MAP,Peptide,0.5,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Polyglycerin-3,Secondary,1,1,NOT_SAFE_TO_MAP,Glycerin,0.727,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Polyoxyl 40 Hydrogenated Castor Oil,Secondary,1,1,NOT_SAFE_TO_MAP,Peg-60 Hydrogenated Castor Oil,0.8,Related chemical but not equivalent,HIGH,PEG-40 and PEG-60 differ in ethoxylation; explicitly not interchangeable.,DO_NOT_MAP
Potato Starch,Secondary,1,1,NOT_SAFE_TO_MAP,Potato Extract,0.741,Same source but different material,HIGH,Starch and extract are different materials.,DO_NOT_MAP
Preservative,Secondary,1,1,NOT_SAFE_TO_MAP,Sodium Anisate (Natural Preservative),0.49,No reliable equivalence,HIGH,"Names a class of materials, not a specific ingredient.",DO_NOT_MAP
Propylene Glycol Monolaurate,Secondary,1,1,NOT_SAFE_TO_MAP,Propylene Glycol,0.727,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Propylene Glycol Stearate Se,Secondary,1,1,NOT_SAFE_TO_MAP,Propylene Glycol,0.727,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Retinol And Polysorbate 20,Primary,1,1,NOT_SAFE_TO_MAP,Retinol,0.424,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Rosa Centifolia Flower Juice,Secondary,1,1,NOT_SAFE_TO_MAP,Rosa Centifolia Flower Water,0.857,Same source but different material,HIGH,Juice and water are different materials.,DO_NOT_MAP
Safflower Oil,Secondary,1,1,NOT_SAFE_TO_MAP,Starflower Oil,0.889,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Salicylate,Secondary,1,1,NOT_SAFE_TO_MAP,Benzyl Salicylate,0.741,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Sea Minerals,Secondary,1,1,NOT_SAFE_TO_MAP,Cooling Actives (Aloe + Sea Minerals + Cica),0.429,No reliable equivalence,HIGH,"Names a class of materials, not a specific ingredient.",DO_NOT_MAP
Sh-pentapeptide-5,Primary,1,1,NOT_SAFE_TO_MAP,Heptapeptide-6,0.774,Related chemical but not equivalent,HIGH,"The 'sh-' prefix marks a synthetic human recombinant peptide, a distinct INCI entity.",DO_NOT_MAP
Shea Butter Glycerides,Secondary,1,1,NOT_SAFE_TO_MAP,Shea Butter,0.667,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Shorea Stenoptera Seed Butter,Secondary,1,1,NOT_SAFE_TO_MAP,Seed Butter,0.55,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Silica Silylate,Secondary,1,1,NOT_SAFE_TO_MAP,Silica,0.571,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Sodium Carboxymethyl Beta- Glucan,Secondary,1,1,NOT_SAFE_TO_MAP,Glucan,0.308,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Sodium Hydrolyzed Potato Starch Dodecenylsuccinate,Primary,1,1,NOT_SAFE_TO_MAP,Potato,0.214,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Sodium Lauroyl Aspartate,Secondary,1,1,NOT_SAFE_TO_MAP,Sodium Lauroyl Sarcosinate,0.84,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Sodium Lauroyl Isethionate,Secondary,1,1,NOT_SAFE_TO_MAP,Sodium Lauroyl Methyl Isethionate,0.881,Related chemical but not equivalent,HIGH,The methyl variant is a different surfactant.,DO_NOT_MAP
Soy Milk Peptide,Primary,1,1,NOT_SAFE_TO_MAP,Milk Peptides,0.828,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Squalane For Long-lasting,Primary,1,1,NOT_SAFE_TO_MAP,Squalane,0.485,No reliable equivalence,HIGH,"Marketing prose captured as an ingredient; needs a dataset-side fix, not an alias.",DO_NOT_MAP
Sunflower Seed Cake,Secondary,1,1,NOT_SAFE_TO_MAP,Sunflower Seed Wax,0.865,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Tapioca Starch Polymethylsilsesquioxane,Primary,1,1,NOT_SAFE_TO_MAP,Tapioca Starch,0.528,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Tocopherol Fragrance,Secondary,1,1,NOT_SAFE_TO_MAP,Tocopherol,0.667,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Tocopheryl.,Secondary,1,1,NOT_SAFE_TO_MAP,Tocopherol,0.857,Related chemical but not equivalent,HIGH,"Truncated name that could expand to Tocopherol or to Tocopheryl Acetate, which are separate rows.",DO_NOT_MAP
Triethoxysilyethyl Polydimethylsiloxyethyl Dimethicone,Secondary,1,1,NOT_SAFE_TO_MAP,Dimethicone,0.338,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Vitamin Ball Ascorbic Acid,Primary,1,1,NOT_SAFE_TO_MAP,Vitamin C / Ascorbic Acid,0.863,No reliable equivalence,HIGH,Corrupted text; the intended ingredient cannot be established.,DO_NOT_MAP
Vitamin C And Vitamin E,Secondary,1,1,NOT_SAFE_TO_MAP,Vitamin E,0.562,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
While It Moisturizes,Primary,1,1,NOT_SAFE_TO_MAP,Skin Moisturizers,0.703,No reliable equivalence,HIGH,"Marketing prose captured as an ingredient; needs a dataset-side fix, not an alias.",DO_NOT_MAP
White Lily,Primary,1,1,NOT_SAFE_TO_MAP,Water Lily,0.8,No reliable equivalence,HIGH,Different plants that merely look similar as strings.,DO_NOT_MAP
Zinc Hydrolyzed Hyaluronate,Primary,1,1,NOT_SAFE_TO_MAP,Hydrolyzed Sodium Hyaluronate,0.786,Related chemical but not equivalent,HIGH,Different counter-ion.,DO_NOT_MAP
sh-Oligopeptide-1,Primary,1,1,NOT_SAFE_TO_MAP,Oligopeptide-1,0.903,Related chemical but not equivalent,HIGH,"The 'sh-' prefix marks a synthetic human recombinant peptide, a distinct INCI entity.",DO_NOT_MAP
Montmorillonite,Primary + Secondary,18,18,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Caprylyl Methicone,Primary + Secondary,10,10,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Isononyl Isononanoate,Primary + Secondary,10,10,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Myristyl Myristate,Secondary,10,10,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Cetyl Ethylhexanoate,Primary + Secondary,9,9,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Coconut Acid,Primary + Secondary,7,7,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Glyceryl Polyacrylate,Secondary,7,7,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Honeysuckle Flower Extract,Primary + Secondary,7,7,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Bamboo Water,Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Bladderwrack Extract,Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Collagen Amino Acids,Primary + Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Desamido Collagen,Primary + Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Diisopropyl Sebacate,Primary + Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Fructooligosaccharides,Primary + Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Retinyl Linoleate,Primary + Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sweet Cherry Seed Oil,Primary + Secondary,6,6,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Bertholletia Excelsa Seed Oil,Primary + Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Calophyllum Inophyllum Seed Oil,Primary + Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Coconut Alkanes,Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Didecyldimonium Chloride,Primary + Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Distearyldimonium Chloride,Primary + Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Ethyl Macadamiate,Primary + Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polybutene,Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sodium Cetearyl Sulfate,Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Stearamide Amp,Primary + Secondary,5,5,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Aluminum Starch Octenylsuccinate,Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Astragalus Membranaceus Root Extract,Primary + Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Bitter Orange Flower Extract,Primary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Coenzyme Q10,Primary + Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Cyclodextrin,Primary + Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Helianthus Annuus,Primary + Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydroxypropyltrimonium Hyaluronate,Primary + Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Lippia Citriodora Leaf Extract,Primary + Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Rumex Occidentalis,Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Wild Cherry Fruit Extract,Secondary,4,4,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
"10, 000 Ppb",Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ahnfeltia Concinna Extract,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ammonium Glycyrrhizate,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Anemarrhena Asphodeloides Root Extract,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Arachidyl Alcohol,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Ascorbyl Methylsilanol Pectinate,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Beheneth-25,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Chlorophyll,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Dicaprylyl Ether,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Diethylene Glycol Monoethyl Ether,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Disodium Phosphate,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ethyl Ascorbyl Ether,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hordeum Vulgare - 5.0%,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Horse Chestnut Escin,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Hydrogenated Coco-glycerides,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydroxyethyl Cellulose,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Isodecyl Neopentanoate,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Isopropyl Alcohol,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Isopropyl Titanium Triisostearate,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Leptospermum Petersonii Oil,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Myreth-3 Myristate,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Octyldodecyl Stearoyl Stearate,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Olea Europaea - 0.5%,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Paeonia Lactiflora Root Extract,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Paeonia Suffruticosa Root Extract,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Pinus Palustris Leaf Extract,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Plant-based Squalane,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Soluble Elastin,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Terpineol,Primary + Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Tetramethyl Acetyloctahydronaphthalenes,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Tribehenin,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triethyl Citrate,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triheptanoin,Secondary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Vp / Eicosane Copolymer,Primary,3,3,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
11% Hydrating Actives,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
4.8% V,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Arachidyl Glucoside,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Artemisia Absinthium Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Blue,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Burnt Cane Sugar,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
C Pareth -12,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
C12-C15 Alkyl Benzoate,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Caramel,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ceramide 6 II,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Chlorella Vulgaris Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Cocoglycerides,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Copper Palmitoyl Heptapeptide-14,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Cystoseira Tamariscifolia Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Decyl Oleate,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Di-C12-13 Alkyl Malate,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Diospyros Mespiliformis Leaf Extract,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Dipentaerythrityl,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Dipeptide-15,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Distarch Phosphate,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Emulsifying Wax,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Fucus Vesiculosus Extract,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Gardenia Florida Fruit Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Glabridin,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Glucose,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Hexahydroxystearate,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hexyl Laurate,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
High In Neuroscience,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydrogenated Styrene Copolymer,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Inulin,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Kalanchoe Pinnata Leaf Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
